Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,City
goSTOPS Delhi - Rooms & Dorms,4.2,Very Good,1076.0,,Chandni Chowk ,Red Fort,1.8 km ,"1,481",384,delhi
Hotel The Royal Plaza,3.4,Good,10365.0,4.0,Connaught Place ,India Gate,2.3 km ,"7,379",885,delhi
"Taj Mahal, New Delhi",4.5,Excellent,991.0,5.0,Man Singh Road Area ,India Gate,1.2 km ,"12,000",,delhi
Hotel Shanti Palace (Mahipalpur),3.7,Very Good,2308.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,604",532,delhi
Aloft New Delhi Aerocity,4.2,Very Good,2906.0,5.0,Aerocity ,Indira Gandhi International Airport,4.1 km ,"6,950",,delhi
Radisson Blu Hotel New Delhi Dwarka,3.7,Very Good,7268.0,5.0,Sector 13 Dwarka,,,"5,953",714,delhi
Hotel Star,4.3,Excellent,1202.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,delhi
Pullman New Delhi International Airport- An Accor Luxury Brand,4.3,Excellent,2197.0,5.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,"10,500",,delhi
Hotel Aman Continental @ Paharganj,4.3,Excellent,5760.0,3.0,Paharganj ,New Delhi Railway Station,390 m ,"2,045",620,delhi
"Taj Palace, New Delhi",4.5,Excellent,7913.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.0 km ,"11,500",,delhi
Red Fox Hotel Delhi Airport,3.9,Very Good,7509.0,3.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,"2,903","1,054",delhi
"Vivanta New Delhi, Dwarka",4.3,Excellent,7707.0,5.0,Sector 21 Dwarka,,,"7,100",,delhi
The Gold Regency @ Paharganj,4.3,Excellent,2949.0,3.0,Paharganj ,New Delhi Railway Station,310 m ,"2,044",620,delhi
"Red Brick | Home by Earthaa Escapes
Like a 3",4.2,Very Good,132.0,,Malviya Nagar,,,"2,548",696,delhi
JW Marriott Hotel New Delhi Aerocity,4.5,Excellent,1308.0,5.0,Aerocity ,Indira Gandhi International Airport,4.1 km ,"12,800",,delhi
Crowne Plaza Rohini,4.3,Excellent,2702.0,5.0,Rohini,,,"6,498",,delhi
"Park Plaza, Shahdara",3.7,Very Good,3422.0,5.0,East Delhi,,,"3,825",,delhi
Andaz Delhi - A concept by Hyatt,4.3,Excellent,1272.0,5.0,Aerocity ,Indira Gandhi International Airport,3.9 km ,"11,000",,delhi
Homestay AC Dormitory at Kashmiri Gate,3.9,Very Good,256.0,,North Delhi,,,735,229,delhi
Zone Connect Saket Delhi,3.9,Very Good,390.0,5.0,Saket,,,"5,900","1,205",delhi
Crowne Plaza Okhla,4.3,Excellent,2802.0,5.0,Okhla Industrial Area,,,"6,300",,delhi
Taurus Sarovar Portico,3.1,Good,845.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.0 km ,"2,976",608,delhi
The Leela Palace New Delhi,4.5,Excellent,449.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),8.5 km ,"17,000",,delhi
Shangri-La Eros New Delhi,4.4,Excellent,1832.0,5.0,Connaught Place ,India Gate,2.3 km ,"12,500",,delhi
Sheraton New Delhi,4.5,Excellent,1706.0,5.0,Saket,,,"9,500",,delhi
"Hyatt Centric Janakpuri, New Delhi",3.6,Very Good,850.0,5.0,Janakpuri,,,"5,599",,delhi
ITC Maurya - A Luxury Collection Hotel,4.3,Excellent,2009.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),7.4 km ,"11,000",,delhi
Le Meridien Delhi,4.2,Very Good,1622.0,5.0,Connaught Place ,India Gate,2.1 km ,"12,150",,delhi
"Eros Hotel New Delhi ,Nehru Place",4.0,Very Good,2733.0,5.0,Near Nehru Place,,,"4,999",,delhi
Jaypee Siddharth Hotel,3.7,Very Good,2052.0,5.0,Pusa road ,BLK Hospital,590 m ,"6,299",,delhi
Hotel Vertu,4.0,Very Good,3227.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,525",631,delhi
"Le ROI, Delhi@ New Delhi Railway Station",4.0,Very Good,4625.0,3.0,Paharganj,,,"2,474",633,delhi
Ashiana Hotel @ New Delhi Railway Station,3.7,Very Good,176.0,,Paharganj ,New Delhi Railway Station,880 m ,883,307,delhi
The Roseate,4.3,Excellent,2371.0,5.0,Mahipalpur ,Indira Gandhi International Airport,8.0 km ,"12,024","2,164",delhi
"The Connaught, New Delhi - IHCL SeleQtions",4.5,Excellent,2016.0,4.0,Connaught Place ,Connaught Place,980 m ,"7,499",,delhi
Hyatt Regency New Delhi,4.2,Very Good,1655.0,5.0,R.K. Puram ,T1 - Delhi Airport (IGI Airport),8.3 km ,"8,100","1,863",delhi
Hotel Samrat,3.2,Good,2214.0,4.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"4,278",874,delhi
"New Delhi YMCA Tourist Hostel | Rooms & Wi-Fi
Like a 3",3.5,Very Good,1401.0,,Connaught Place ,Connaught Place,900 m ,"3,148",847,delhi
Golden Keys Inn,3.7,Very Good,752.0,3.0,North Delhi,,,"2,009",679,delhi
Ginger East Delhi,3.5,Very Good,3276.0,3.0,East Delhi,,,"1,839",,delhi
The Hans,3.6,Very Good,1397.0,4.0,Connaught Place ,Agrasen Ki Baoli,600 m ,"4,860",993,delhi
"Shubham Vilas
Like a 3",4.2,Very Good,323.0,,Rajouri Garden,,,"1,876",665,delhi
Ramada By Wyndham New Delhi Pitampura,3.5,Very Good,1620.0,4.0,North Delhi,,,"4,437",906,delhi
Svelte Hotel & Personal Suites,3.6,Very Good,967.0,5.0,Saket,,,"8,333",,delhi
The Grand Uddhav,4.2,Very Good,1838.0,3.0,Paharganj ,New Delhi Railway Station,740 m ,"3,081",817,delhi
Hotel Chanakya Inn,3.4,Good,2603.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"1,836",513,delhi
Hotel Viva Palace @ Delhi Airport,3.9,Very Good,528.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.2 km ,"2,271",567,delhi
Hotel Hari Piorko,3.8,Very Good,5220.0,3.0,Paharganj ,New Delhi Railway Station,630 m ,"1,104",412,delhi
Hotel Southern,3.4,Good,2350.0,3.0,Karol bagh,,,"1,951",469,delhi
Hotel Delhi 37,4.3,Excellent,8326.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,delhi
Red Fox Hotel East Delhi,3.6,Very Good,1069.0,3.0,East Delhi,,,"1,908",692,delhi
HOME@B11,2.3,Average,3.0,,East Of Kailash,,,"2,758",901,delhi
The Umrao,3.9,Very Good,2863.0,5.0,Samalka ,Indira Gandhi International Airport,6.5 km ,"5,000",,delhi
IIDL Suites,4.1,Very Good,1926.0,4.0,East Delhi,,,"4,900",,delhi
Four Points by Sheraton Delhi,4.0,Very Good,1662.0,4.0,Samalka ,Indira Gandhi International Airport,6.4 km ,"4,559",,delhi
"Deventure Sarovar Portico, Kapashera, New Delhi",3.9,Very Good,2681.0,4.0,Delhi ,Indira Gandhi International Airport,8.1 km ,"5,022","1,026",delhi
"The Dream House BnB | Rooms & Caretaker
Like a 3",4.1,Very Good,41.0,,Safdarjung Enclave ,T1 - Delhi Airport (IGI Airport),9.4 km ,"2,542",684,delhi
"Park Inn by Radisson, IP Extension- New Delhi",3.8,Very Good,2618.0,4.0,East Delhi,,,"4,150",,delhi
The Claridges New Delhi,4.1,Very Good,1055.0,5.0,Motilal Nehru Marg Area ,India Gate,2.2 km ,"10,350","1,863",delhi
De Pavilion Hotel,3.6,Very Good,2047.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.6 km ,"3,164",646,delhi
Venizia Sarovar Portico,3.6,Very Good,563.0,4.0,North Delhi,,,"3,766",769,delhi
Centaur Hotel,2.5,Average,676.0,3.0,Delhi Airport ,Indira Gandhi International Airport,2.0 km ,"3,202",654,delhi
The Orion Plaza - Nehru Place,3.8,Very Good,1180.0,3.0,Near Nehru Place,,,"2,706",589,delhi
Dee Marks Hotel & Resort Delhi Airport,3.4,Good,1572.0,4.0,Mahipalpur ,Indira Gandhi International Airport,8.8 km ,"2,534",633,delhi
HOTEL LE SEASONS,3.6,Very Good,581.0,4.0,Mahipalpur ,Indira Gandhi International Airport,3.8 km ,"2,653",700,delhi
Caspia Hotel New Delhi Shalimar Bagh,3.4,Good,1725.0,3.0,North Delhi,,,"2,799",572,delhi
"Park Inn by Radisson, Lajpat Nagar",4.1,Very Good,1856.0,4.0,Andrews Ganj,,,"6,999",,delhi
Jukaso Inn Down Town,3.6,Very Good,1207.0,3.0,Connaught Place ,Connaught Place,700 m ,"3,134",682,delhi
Hotel LA New Delhi,3.6,Very Good,1764.0,4.0,Mangolpuri,,,"3,438",702,delhi
Kelvish Hotel Near Delhi Airport,3.9,Very Good,1337.0,3.0,Mahipalpur ,Indira Gandhi International Airport,5.4 km ,"1,869",481,delhi
Radisson Hyderabad Hitec City,3.7,Very Good,7994.0,5.0,Gachibowli,,,"4,500",,hyderabad
The Park Hyderabad,3.7,Very Good,11318.0,5.0,Somajiguda,,,"5,699","1,284",hyderabad
ITC Kohenur - A Luxury Collection Hotel,4.3,Excellent,2465.0,5.0,Hitech City,,,"16,150",,hyderabad
Fairfield by Marriott Hyderabad Gachibowli,3.9,Very Good,5006.0,4.0,Gachibowli,,,"4,004",818,hyderabad
Radisson Blu Plaza Hotel,4.1,Very Good,4632.0,5.0,Banjara Hills,,,"7,250",,hyderabad
Lemon Tree Hotel Gachibowli,4.0,Very Good,5372.0,4.0,Gachibowli,,,"4,183","1,518",hyderabad
Red Fox Hotel Hyderabad,3.9,Very Good,4338.0,3.0,Hitech City,,,"2,654","1,050",hyderabad
"Lemon Tree Hotel, Banjara Hills, Hyderabad",4.1,Very Good,2775.0,4.0,Banjara Hills,,,"2,571",933,hyderabad
"Taj Krishna, Hyderabad",4.5,Excellent,1580.0,5.0,Banjara Hills,,,"8,000",,hyderabad
Novotel Hyderabad Airport,3.9,Very Good,1278.0,5.0,Near Hyderabad Airport ,Rajiv Gandhi International Airport,3.6 km ,"12,999",,hyderabad
Rester Select Kukatpally,4.0,Very Good,263.0,3.0,Kukatpally,,,"2,463",674,hyderabad
The Golkonda Hotel,4.1,Very Good,3981.0,4.0,Masab Tank,,,"5,499",660,hyderabad
Trident Hyderabad,4.7,Excellent,1517.0,5.0,Hitech City,,,"14,250",,hyderabad
Ellaa Hotel Gachibowli,3.8,Very Good,4341.0,4.0,Gachibowli,,,"3,321",678,hyderabad
Lemon Tree Premier HITEC City Hyderabad,4.0,Very Good,5148.0,5.0,Hitech City,,,"3,151","1,246",hyderabad
"Siri Inn Hospitality | Rooms in an Apartment
Like a 3",3.6,Very Good,681.0,,Hitech City,,,"1,287",373,hyderabad
ibis Hyderabad HITEC City - An Accor Brand,3.8,Very Good,1016.0,3.0,Hitech City,,,"4,499",,hyderabad
Hyatt Place Hyderabad Banjara Hills,4.1,Very Good,1695.0,5.0,Banjara Hills,,,"7,249",,hyderabad
"Vivanta Hyderabad, Begumpet",4.4,Excellent,2743.0,5.0,Begumpet,,,"6,500",,hyderabad
Zen Comfort,4.0,Very Good,300.0,,Gachibowli,,,"1,438",387,hyderabad
Hyderabad Marriott Hotel and Convention Centre,4.3,Excellent,1240.0,5.0,Kavadiguda,,,"6,500",,hyderabad
HOTEL SIGNATURE AIRPORT ZONE SHAMSHABAD,4.1,Very Good,2343.0,3.0,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"2,217",571,hyderabad
Daspalla Hotel,4.1,Very Good,1948.0,4.0,Jubilee Hills,,,"5,413","1,386",hyderabad
Hotel OAK by Signature,4.2,Very Good,1722.0,3.0,Shamshabad ,Rajiv Gandhi International Airport,8.5 km ,"1,317",346,hyderabad
Aditya Park Hyderabad - A Sarovar Hotel,4.0,Very Good,2503.0,4.0,Ameerpet,,,"6,111","1,248",hyderabad
"Park Hyatt Hotel and Residences, Hyderabad",4.2,Very Good,874.0,5.0,Sri Nagar Colony,,,"10,000",,hyderabad
Marigold By Green Park,4.3,Excellent,2477.0,5.0,Ameerpet,,,"5,714","1,485",hyderabad
Hotel Hyderabad Grand,3.8,Very Good,1599.0,3.0,Shamshabad ,Rajiv Gandhi International Airport,7.6 km ,"3,028",756,hyderabad
Green Park,4.2,Very Good,1864.0,4.0,Ameerpet,,,"5,122","1,267",hyderabad
The Central Court,3.6,Very Good,3819.0,3.0,Lakdikapul,,,"2,041",566,hyderabad
Holiday Inn Express Hyderabad HITEC City,3.5,Very Good,1894.0,3.0,Hitech City,,,"4,499",,hyderabad
Slackpackr Hostel,4.1,Very Good,87.0,,Begumpet,,,849,237,hyderabad
Holiday Inn Express Hyderabad Banjara Hills,3.5,Very Good,2359.0,3.0,Punjagutta,,,"4,140",540,hyderabad
CITADEL Hotel By Vinnca,4.1,Very Good,949.0,3.0,Gaghan Pahad,,,"2,932",802,hyderabad
Aditya Hometel Hyderabad - A Sarovar Hotel,3.5,Very Good,2234.0,3.0,Ameerpet,,,"1,860",380,hyderabad
Hotel Deccan Serai Grande,4.4,Excellent,517.0,4.0,Gachibowli,,,"7,014","2,297",hyderabad
Katriya Hotel and Towers,2.8,Average,3250.0,3.0,Somajiguda,,,"3,761",451,hyderabad
Hotel Saptagiri Hyderabad,3.8,Very Good,2861.0,3.0,Shivaji Nagar ,Secunderabad Junction Railway Station ,760 m ,"2,724",614,hyderabad
Hampshire Plaza Hotel,3.8,Very Good,1680.0,3.0,Lakdikapul,,,"3,379",891,hyderabad
"Taj Deccan, Hyderabad",4.4,Excellent,2694.0,5.0,Banjara Hills,,,"6,990",,hyderabad
Avasa Hotel,4.2,Very Good,2073.0,5.0,Madhapur,,,"6,696","1,368",hyderabad
Hotel Akoya - HITECH City Hyderabad,4.1,Very Good,520.0,3.0,Hitech City,,,"2,471",681,hyderabad
MARIGOLD AT NEST,3.8,Very Good,93.0,2.0,Gachibowli,,,"1,346",307,hyderabad
HOTEL RAINTR33,3.8,Very Good,1012.0,3.0,Hitech City,,,"2,011",550,hyderabad
Urban Nest Luxury Rooms,3.9,Very Good,206.0,,Kokapet,,,"1,046",357,hyderabad
Novotel Hyderabad Convention Centre,4.2,Very Good,2033.0,5.0,Hitech City,,,"10,500",,hyderabad
Hotel B Plus L,4.0,Very Good,866.0,4.0,Hitech City,,,"3,360",795,hyderabad
La Hometel Hotel - HITECH City Hyderabad,3.9,Very Good,236.0,3.0,Hitech City,,,"1,435",387,hyderabad
Le Meridien Hyderabad,4.3,Excellent,1059.0,5.0,Gachibowli,,,"10,500",,hyderabad
"Restel Studio Flats
Like a 3",4.2,Very Good,262.0,,Borabanda,,,"1,801",504,hyderabad
The Conclave,3.2,Good,958.0,3.0,Gachibowli,,,"1,613",497,hyderabad
The Landmark Banjara Hills,4.0,Very Good,613.0,3.0,Banjara Hills,,,"1,696",437,hyderabad
THE CENT,3.3,Good,1544.0,3.0,Lakdikapul,,,"1,662",389,hyderabad
Courtyard by Marriott Hyderabad,4.5,Excellent,981.0,4.0,Kavadiguda,,,"6,000",,hyderabad
"The Wilderness Retreat | Rooms & Restaurant
Like a 4",3.9,Very Good,220.0,,Gandipet,,,"7,346","2,197",hyderabad
The Altruist Business Hotel (Hitech),3.7,Very Good,1888.0,4.0,Shilpa Hills,,,"4,278","1,028",hyderabad
Istay Hotels Hitec,3.7,Very Good,1236.0,3.0,Kondapur,,,"2,913",613,hyderabad
Hyatt Hyderabad Gachibowli,4.1,Very Good,864.0,5.0,Gachibowli,,,"8,750",,hyderabad
The Art Boutique Hotel,3.8,Very Good,1515.0,3.0,Gachibowli,,,"2,197",677,hyderabad
Hotel Imperial Classic,3.9,Very Good,2183.0,3.0,Himayat Nagar,,,"1,068",315,hyderabad
Mercure Hyderabad KCP - An AccorHotels brand,4.2,Very Good,773.0,4.0,Punjagutta,,,"5,000",,hyderabad
Veeraj Suites,4.0,Very Good,435.0,3.0,Rai Durg,,,"2,170",599,hyderabad
Bloom Hotel - Gachibowli,4.1,Very Good,181.0,3.0,Gachibowli,,,"4,500",,hyderabad
Oakwood Residence Kapil Hyderabad,4.5,Excellent,957.0,,Gachibowli,,,"7,500",,hyderabad
Aalankrita Resort & Convention,4.1,Very Good,3109.0,4.0,Secunderabad ,city centre,26.5 km ,"4,484",916,hyderabad
Minerva Grand- Kondapur,3.9,Very Good,1019.0,3.0,Kothaguda,,,"4,371",893,hyderabad
M SQUARE HOTEL,3.9,Very Good,263.0,3.0,Hitech City,,,"4,395",898,hyderabad
Sri Sri Suites,3.4,Good,152.0,,Madhapur,,,"1,208",330,hyderabad
The Manohar,2.7,Average,258.0,3.0,Begumpet,,,"3,158",645,hyderabad
The Lime Boutique Suites,4.1,Very Good,1434.0,3.0,Gachibowli,,,"2,976",608,hyderabad
Taj Tristar,3.9,Very Good,992.0,3.0,Secunderabad ,city centre,7.7 km ,"2,271",494,hyderabad
Minerva Grand - Banjara,4.0,Very Good,1453.0,3.0,Banjara Hills,,,"4,464",912,hyderabad
Sheraton Hyderabad,4.3,Excellent,769.0,5.0,Gachibowli,,,"1,25,000",,hyderabad
ITC Kakatiya - A Luxury Collection Hotel,4.2,Very Good,1071.0,5.0,Begumpet,,,"9,690",,hyderabad
Bikanervala Boutique Hotel,4.1,Very Good,1037.0,3.0,Banjara Hills,,,"3,488",713,hyderabad
The Park Kolkata,3.9,Very Good,7647.0,5.0,New Market Area ,Park Street,210 m ,"4,207",886,kolkata
"Zone By The Park, Kolkata",3.8,Very Good,8656.0,5.0,New Town,,,"3,915",926,kolkata
JW Marriott Hotel Kolkata,4.4,Excellent,1527.0,5.0,Tangra,,,"7,800",,kolkata
ibis Kolkata Rajarhat - An Accor Brand,3.9,Very Good,2355.0,4.0,New Town,,,"2,220",,kolkata
The Lalit Great Eastern Kolkata,4.2,Very Good,2486.0,5.0,Bow Barracks ,Eden Gardens,970 m ,"6,365",764,kolkata
ITC Royal Bengal - A Luxury Collection Hotel,4.5,Excellent,3849.0,5.0,Tangra,,,"8,925",,kolkata
"Lemon Tree Premier, New Town, Kolkata",4.2,Very Good,3026.0,5.0,New Town,,,"2,156",782,kolkata
Novotel Kolkata Hotel and Residences,4.1,Very Good,2827.0,5.0,New Town,,,"5,060",,kolkata
All Fresco Hotel,3.7,Very Good,688.0,3.0,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.6 km ,"1,637",483,kolkata
Regenta Orko's Kolkata,3.9,Very Good,2055.0,4.0,Kasba ,Acropolis Mall,680 m ,"3,321",449,kolkata
"Holiday Inn Express, Kolkata Airport",4.1,Very Good,1655.0,3.0,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"4,099",,kolkata
Himalayan Inn Guest House - Near TCS Gitobitan,3.3,Good,534.0,,Salt Lake City,,,724,257,kolkata
Holiday Inn Kolkata Airport,4.1,Very Good,2486.0,5.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"4,600",,kolkata
"Taj City Centre New Town, Kolkata",4.4,Excellent,1556.0,5.0,Rajarhat ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"5,650",,kolkata
"Vivanta Kolkata, EM Bypass",4.4,Excellent,2031.0,5.0,East Kolkata Township,,,"5,500",,kolkata
Hyatt Regency Kolkata,4.2,Very Good,1426.0,5.0,Salt Lake City ,Salt Lake Stadium,740 m ,"5,780",694,kolkata
"Bandhan Residency
Like a 3",3.7,Very Good,460.0,,Kaikhali ,Netaji Subhash Chandra Bose International Airport,3.0 km ,"1,102",350,kolkata
The Oberoi Grand,4.7,Excellent,1268.0,5.0,New Market Area ,Park Street,930 m ,"8,000",,kolkata
"Fairfield by Marriott, Kolkata",4.1,Very Good,2332.0,4.0,New Town,,,"2,499",,kolkata
Ethnotel,4.0,Very Good,3211.0,3.0,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.7 km ,"2,949",621,kolkata
Backpackers Park Hostel @ParkStreet,3.8,Very Good,417.0,,New Market Area ,Park Street,150 m ,893,209,kolkata
THE WESTIN KOLKATA RAJARHAT,4.4,Excellent,2067.0,5.0,New Town ,Netaji Subhash Chandra Bose International Airport,9.3 km ,"5,699",,kolkata
"Taj Bengal, Kolkata",4.6,Excellent,1165.0,5.0,Alipore,,,"8,000",,kolkata
Hotel Senses,3.9,Very Good,1943.0,4.0,Salt Lake City ,Salt Lake Sec V,900 m ,"3,716","1,016",kolkata
ITC Sonar - A Luxury Collection Hotel,4.4,Excellent,2325.0,5.0,Tangra,,,"7,225",,kolkata
Kenilworth Hotel,4.3,Excellent,669.0,4.0,Park Street Area,,,"6,054",727,kolkata
The Peerless Inn,3.9,Very Good,3539.0,4.0,Near Howrah Train Station ,Eden Gardens,770 m ,"4,186",855,kolkata
De Sovrani,3.9,Very Good,1260.0,4.0,Salt Lake City,,,"2,916",690,kolkata
"Pride Plaza Hotel, Kolkata",3.9,Very Good,1861.0,5.0,New Town,,,"2,800",336,kolkata
"City Central Hostel, Kolkata",4.6,Excellent,77.0,,Kolkata ,Dharamtala Market,980 m ,736,198,kolkata
Siamton Inn - A Cygnett Collection,4.0,Very Good,2312.0,4.0,Park Street ,Park Street,10 m ,"2,790",677,kolkata
Hotel Aauris,4.1,Very Good,1658.0,4.0,Park Street ,Park Street,430 m ,"4,650",950,kolkata
"Howard Johnson by Wyndham, Kolkata Airport",3.9,Very Good,1150.0,4.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.6 km ,"2,500",,kolkata
Park Prime Kolkata,3.8,Very Good,2036.0,3.0,Ballygunge,,,"3,652","1,006",kolkata
Joey's Nest,4.7,Excellent,54.0,,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,9.5 km ,"2,245",583,kolkata
Hotel Hindusthan International,3.6,Very Good,1907.0,5.0,Bhowanipore,,,"4,134",978,kolkata
Hotel Niharika,4.1,Very Good,1551.0,3.0,Elgin,,,"2,790",570,kolkata
Vedic Village Spa Resort,4.0,Very Good,3761.0,4.0,Vedic Village,,,"3,688",944,kolkata
Park Palace Hotel,3.6,Very Good,1471.0,3.0,Ballygunge,,,"1,350",431,kolkata
Offbeat CCU Bunkers,4.3,Excellent,92.0,,Topsia,,,944,205,kolkata
Monotel Luxury Business Hotel,3.9,Very Good,1744.0,4.0,Salt Lake City,,,"3,523",855,kolkata
AIRPORT CITY HOTEL,3.9,Very Good,1658.0,4.0,Birati ,Netaji Subhash Chandra Bose International Airport,2.0 km ,"2,994",767,kolkata
The Lindsay,3.5,Very Good,1990.0,3.0,New Market Area ,Park Street,870 m ,"2,907",710,kolkata
RituIvy,4.0,Very Good,547.0,3.0,East Kolkata Township,,,"2,132",588,kolkata
Hotel O2 Oxygen,3.8,Very Good,826.0,4.0,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.1 km ,"2,856",583,kolkata
VISITEL - A BOUTIQUE HOTEL,3.8,Very Good,1058.0,3.0,Kankurgachi,,,"1,991",590,kolkata
IndiSmart Hotel,3.9,Very Good,277.0,3.0,Salt Lake City,,,"1,999",515,kolkata
LYNQ AERO,4.0,Very Good,461.0,3.0,Salt Lake City,,,"3,242",767,kolkata
"Park Guest House, Kolkata",3.7,Very Good,19.0,,Park Street ,Park Street,140 m ,"1,045",315,kolkata
Regenta Inn Larica,3.6,Very Good,1448.0,3.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"2,713",419,kolkata
Golden Tulip Kolkata,4.1,Very Good,1538.0,4.0,Salt Lake City,,,"3,772",770,kolkata
The Senator,4.3,Excellent,1016.0,3.0,Elgin,,,"2,511",513,kolkata
Gallery 67,4.2,Very Good,832.0,3.0,Ghose Bagan ,Netaji Subhash Chandra Bose International Airport,9.4 km ,"2,536",737,kolkata
CHOWDHURY'S ESTATES,3.5,Very Good,24.0,,Elgin,,,"1,935",480,kolkata
Pipal Tree Hotel,4.0,Very Good,2274.0,4.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"3,579",846,kolkata
Stayotel,4.0,Very Good,606.0,3.0,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.5 km ,"2,365",672,kolkata
"Raajkutir, Kolkata - IHCL SeleQtions",4.6,Excellent,576.0,5.0,Kankurgachi ,Salt Lake Stadium,810 m ,"5,350",,kolkata
The Sonnet,4.1,Very Good,844.0,4.0,Salt Lake City,,,"4,937","1,233",kolkata
"Krishna Kunja | Rooms & Caretaker
Like a 3",4.6,Excellent,99.0,,South Dum Dum ,Netaji Subhash Chandra Bose International Airport,5.1 km ,"1,440",418,kolkata
Aristocrat Hotel,3.7,Very Good,262.0,4.0,New Town,,,"1,966",409,kolkata
The Fern Residency Kolkata,3.8,Very Good,1051.0,3.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,"2,462",582,kolkata
Sapphire Suites,3.8,Very Good,776.0,3.0,New Market Area ,Park Street,780 m ,"3,089",631,kolkata
Victoria Hotel,4.0,Very Good,862.0,3.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.0 km ,"2,388",720,kolkata
The Pearl Hotel,3.3,Good,608.0,3.0,Beliaghata ,Salt Lake Stadium,840 m ,"1,517",484,kolkata
The Astor,4.2,Very Good,933.0,4.0,Park Street Area,,,"4,502",920,kolkata
Barsana Boutique Hotel (Pure vegetarian),4.2,Very Good,296.0,3.0,Tangra,,,"3,767",770,kolkata
THE MAUREEN KOLKATA,4.0,Very Good,1441.0,3.0,Baguiati ,Netaji Subhash Chandra Bose International Airport,4.7 km ,"3,188",671,kolkata
The Aster Penthouse,4.2,Very Good,12.0,,Ballygunge ,Park Street,960 m ,"1,766",532,kolkata
The Firangipani Suites,4.0,Very Good,106.0,3.0,New Town,,,"1,980",484,kolkata
Celesta,4.1,Very Good,1087.0,3.0,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.8 km ,"3,085",842,kolkata
HOTEL EASTERN PLAZA,3.3,Good,1312.0,3.0,Kaikhali ,Netaji Subhash Chandra Bose International Airport,4.1 km ,"1,192",331,kolkata
Hotel Aura,3.6,Very Good,432.0,3.0,New Market Area,,,"2,106",599,kolkata
Viceroy Kolkata (Boutique Hotel),3.8,Very Good,1077.0,3.0,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.8 km ,"2,562",523,kolkata
Beyzaa Hotel & Suites (Brewery Hotel),4.2,Very Good,593.0,4.0,Salt Lake City,,,"4,589",551,kolkata
The CORPORATE,3.4,Good,577.0,3.0,Park Street ,Park Street,130 m ,"3,086",867,kolkata
Hotel Trimoorti,3.6,Very Good,1375.0,3.0,Bhowanipore,,,"1,488",476,kolkata
Bubble Beds,3.9,Very Good,376.0,,Kalighat ,Kalighat Kali Temple,960 m ,597,161,kolkata
The Opus Kolkata - A Boutique Hotel,3.9,Very Good,376.0,3.0,Bhowanipore,,,"2,372",485,kolkata
Hotel Crest Inn,3.7,Very Good,975.0,,Park Circus,,,"1,260",382,kolkata
Golden Parkk,3.6,Very Good,219.0,3.0,Park Street Area ,Park Street,960 m ,"3,767",770,kolkata
Hotel The Crest,3.8,Very Good,324.0,,Park Circus,,,"1,328",384,kolkata
Park Victoria Hotel,3.4,Good,383.0,,New Market Area ,Park Street,250 m ,"1,507",308,kolkata
The Samilton,4.0,Very Good,777.0,3.0,Bhowanipore,,,"3,499",420,kolkata
Treebo Trend Orion Sapphire Beck Bagan,3.8,Very Good,127.0,,Park Street ,Park Street,770 m ,"2,540",530,kolkata
Eennra Oiitijhyya,4.4,Excellent,142.0,3.0,Keyatala,,,"1,994",567,kolkata
"The Aster Heritage Homestay | Rooms & Caretaker
Like a 3",4.3,Excellent,115.0,,New Market Area ,Park Street,60 m ,"2,452",660,kolkata
